review_id,user_id,business_id,stars,useful,funny,cool,text,date
6BXQO_LAmMolJ5BYieGDsA,IH0ToaZ8hJXO2pVieN7dpQ,VItkA7pL82rCZdxHH8vBGA,5.0,0,0,0,amongst favorite yelp elite events pleasure attending many reasons parking amazing staff endless pastabilities bottomless fountain drinks tasty ingredients satiating food moment stepped honeygrow location received topnotch service woman playing bouncer cheerful informative welcomed checked event mentioned friend area stopping lunch mistook invite join preview day woman door happily welcomed explained ordering allowed join despite unknowingly crashing assume inviteonly type event thanks totally unnecessary hospitability lunches super tasty person limitations might even leftovers take home person ordered spicy garlic chicken menu despite endless variations customizations woman simple need hate making decisions noodles ready less 10 minutes able snag table strawberry lemonade sipping staff speedy efficient location little small bright clean hope warmer weather able add outdoor seating even though freezing little nervous eat inside would totally opted picnic seats would available downside proximity target next visit location undoubtedly hit wallet twice thanks invite already craving next lunch stop,2022-01-19 19:48:45
gUkdqUCMJCJ38HVlLZxlgg,i1PMqye40QWNkJ0MYGHuzg,J0joPXxmN-_9Lzafspqdbw,5.0,0,0,0,love love love place great food always two meals portions service always friendly,2022-01-19 19:48:25
3wqrZowVYwSPEh8p5nLn1g,3TQKP7KlNRdrI2gOkG7slg,jVg-KTXEFIeAq47DTp4Hrw,5.0,0,0,0,jerry excellent job car running great especially cares believe even offers discounts university students answers questions may super helpful,2022-01-19 19:48:19
L0KaPI67DcTN4wwqfz6A3w,2Mb0st9WVyccaz6sKNLHWw,M88FFZZ2o_7QKpCFA_8RtA,5.0,0,0,0,love subaru cherry hill bought numerous cars every experience exceptional normally painstaking process paperwork insurance verifications finance issues etc gone without problem last 4 cars purchased service department without doubt best phillysouth jersey area always treated professionally fairly trust beyond doubt woman taken advantage dealerships sofch never tries upsell useless preventive service told multitudes issues car needed serviced hard believe actually car dealership honestbut sofch best goyou sorry,2022-01-19 19:48:16
11yPqFYtkACY7TWKc5MNzA,lmiiFd9KC15fs4xtEoXRvw,XDMno4l95AXgYOd0yDtHZA,5.0,0,0,0,yummy food great customer service also delicious hot chai restaurant empty quiet customers take away got food fairly quick everything ordered delicious highly recommend,2022-01-19 19:48:13
z49cuQBmv3pZfRLMdi8jcw,cQ-TXz261yymp-E1dFDxvg,JvawJ9bSr22xn4R9oLvl_w,5.0,0,0,0,first time new orleans first place ate choose tired walking tried chicken gumbo seafood gumbo liked chicken one lot got jambalaya wife catfish never much cajun cannot compare thought jambalaya good share catfish best ever breading soft crunchy spiced well acacia server excellent great recommendations would come ever area,2022-01-19 19:47:59
nZ0VJHM5Tr3vSE-ZlKHEzQ,gHdcu5Cq4B6_EWddaYpQVA,CHsBtukrk3A31bOahc7sew,1.0,0,0,0,scheduled appointment harris plumbing repair main water line mobile home appointment delayed one day messed guy showed next morning polite wearing street clothes uniform explained make connection water line anymore replace whole valve 700 understood would contain shutting water supply half units township came plumber left explained needed connector sell hone depot bought one 10 dollars installed 2 minutes problem solved plumber asked pay 50 percent left said called harris plumbing explain girl got snippy immature rude plain simple scam artists proved comeon harris plumbing need nonsense,2022-01-19 19:47:19
ynuz9C33_PqA9rSkvM8L8g,hDMM20MqoKVi4VMKamyfqQ,nIlmZLuMs0JuBRvAHSIf8Q,5.0,0,0,0,delivered beautiful cake daughters bat mitzvah absolutely delicious highly recommend bredenbecks,2022-01-19 19:46:34
y2MsWZ3Af8tOywtg0FXXfg,MfQc-rOY5Qu_uRcoXDNzKA,dcHPZZ6lgqm_VAcQjOUoMg,5.0,0,0,0,absolutely love shop always helpful coming years smells amazing always always clean great prices especially disposables,2022-01-19 19:46:06
8YCIC3yXAtsUaE5pIoBMVg,u2a88PlFOY9E590qO-h5_g,P8tNjsI6jE--HsvfeW-Mcw,5.0,0,0,0,always nice helpful food cooked order great service love ice cream,2022-01-19 19:45:56
35okO95EKn1Wxz6hMH4Llw,ognrtkoN_v890L70KtnkcQ,iTbXEB6ak3eHNZG1D3hKJA,5.0,0,0,0,really loved english toffee service great thank,2022-01-19 19:45:44
majL5SbnLG1r35p3Y60JIQ,PLyOKlWMEw1SJ0RhEsVtsw,i_kM6kP4u4Wxr3o3_9XN_A,5.0,0,0,0,one best sushi places eaten highly recommend place sushi lover rolls delicious,2022-01-19 19:45:43
QJ23WuZB2OqStDAWnV5TQA,889Zs1Xyz6kucIShNdCJjg,n7AQvGvNHlmun3kqXeBKVQ,5.0,0,0,0,roys appliance responded quickly dishwasher problem showed time terry professional explaining wrong dishwasher made repairs needed without scratching new floor also price fair highly recommend using gardner,2022-01-19 19:45:32
bSzvhCkVVL9p0BpHMsqviQ,BlvDcYBfjf55OuCLfixEsQ,Eo0psaCr_gcty9QqyUy46Q,5.0,0,0,0,giving 3 star review revist give another try several times 3 star review disappointed let us give another roll wednesday morning day inside cafe central row calm morning many diners nice quite like seated outside plush comfy booth towards patio area wall notice old school keno board hangin brings back memories nice lady would walk around offering keno sheets little black crayons saying lol old enough say good old daysthe one thing love place rain sleep snow town open 247 whenever doubt cafe central provide late night early morning eats looks like menu changed slightly indecisive read thru fifty seven eleven times cannot decide breakfast lunch dinner love eating breakfast dinner probably save later go dinner breakfast caution entire menu available till 11am 10min away 11 nice server suzanne allows order lazagna taste buds enjoy garlic bread served dish top wash went fancy bottomless ice water oh yea ordered food 1051am anxiously waiting arrives surprise 1107 bad considering like eggs bacon wham bam thanks man food looks amazing impressed smell combination garlic bread lazagna cannot wait dig playing round cod eating inbetween writing review decide yea dish taste good definitely worth 20 dollars consistency pastas textures point hate pasta soft soft hard even burnt ends cooked improperly case lazagna topped cheesesthen delicious meat sauce mixed pasta cheese sauce ingredients blended well complimented nicely garlic bread classic delicious attractive good dish would order thank suzzane text book execution good service really makes good dish great grazie,2022-01-19 19:44:03
THBOqgQHg5XD2-n0n0StlQ,teauejBc7ynvX_oBuAJl1g,NGMLSJq_qDgFfZc2-4xwEg,1.0,0,0,0,angry right would rate store negative 10 could mother 104 years old comcast poa along siblings mothers expenses exceeding income looking comcast bill along bills see cold reduce charges arizona moms indiana tried calling 800 number comcast comcast know work gave 800 got line made appt go comcast store cortaro road went store morning checked sat wait someone wait waiting tried use stores wifi luck got error message every time tried get wifi used banner urgent cares wifi next door xfinity got fine asked greeter kept saying able get sitting woman walked asked greeter ad seen tv free wifi wanted inquire greeter kept saying sell routers woman said router asking free ad saw tv greeter said know anything anything free customer asked times turned around left taken clue prepared happened next name called met woman name badge long black hair showed poa id told mission today started typing keypad could pull region went tablet tried pull region avail said would talk supervisor see could asked tell comcast bill wanted change went took notes left came back minutes later told could help asked 800 number said called told much anything run around dept giving another phone number call asked could call 800 number get connected region help response called 800 number everyone walked woldnt able help customers long long time comcast customer apparently chopped liver angry walked said going mind know thought would easy process store would actually want help customer called customer service center last thing store,2022-01-19 19:43:47
_yuju4d10FffosLJOJ4mgg,EkUWydx3bJmiMWOBmdVf4Q,4-z563pZ4jNCVeJtPW8k_Q,5.0,0,0,0,probably one worlds difficult people get iv came decided get iv jet able put iv first try cannot explain happy made cannot remember last time ever happened b 12 member love employees extremely grateful jet kind always knowledgeable 1510 pleased absolutely recommend vidaflo,2022-01-19 19:43:00
OTPDdLtUl_VPvth_c0kBmg,jCFYwSOZOUs1-3Nxab3GdQ,iYUwyARgC_RNPA1rTlL3-Q,5.0,0,0,0,great food awesome atmosphere solid service stopped weekday lunchtime busyi waited 10 minutes 2 poboys ordering counter able get blackened fish poboy form upon request absolutely excellent dynamite flavor really enjoyed meal eating inside funky nice leave art also made enjoyable experience,2022-01-19 19:42:22
g7euJ1g3MnWD_gJLdTDcIg,HOSsigVG94fb0J95y-XoBg,H1UHnQRK63leyN6_vOfuNw,5.0,0,0,0,tony great work responsive beginning upfront everything replaced 3 toilets fixed issues highly recommend choosing graciano sewer drain next project issue,2022-01-19 19:42:20
cAr8oINk5s89sFWk4AyrAw,OMVp9p1SZDSjKIkG-eDO4w,4RrwqZwLnRe0Yhkv5_03fQ,1.0,0,0,0,frustrated alamo tried rent car christmas new years months website said nothing available trying rent van feb still nothing available company sold fleet covid cannot buy new cars fast enough,2022-01-19 19:42:11
6p2zP_s7WbWaxVa-dWE2Yw,MvTxxHzwrWKiloCrgTySYw,r926yelr_EJAKQCjdD6AWA,5.0,0,0,0,wife hosted rehearsal dinner patrick state fig absolute pleasure work sb locals eaten many times always enjoyed food service private event different guests raved food multiple delays schedule changes due covid patrick always accommodating helped us put together special evening always remember event staff friendly top everything thank patrick whole state fig team,2022-01-19 19:39:46
iOsa_6F8Ivfa4igfu_9DPg,PCS3F53ltR_svcnncSw6pw,hv4KZMGni-26GALoq0FXZw,1.0,0,0,0,review att direct tv reason gave one star could give zero starts getting 10 robo calls day saying account eligible upgrade surpris account block calls get another call 10 min later called customer service absolutely horrible would let speak supervisor called local store see could get help way said could help unless come store call list every time block number call new number cannot speak live person callmake bs stop,2022-01-19 19:39:40
gXgxuEZjb87BmlGPxo0uhA,sX61XBi6Tf5K01vsAIiN0w,9vH3pJlBjfhi8HFlX9EB1w,5.0,0,0,0,moved town looking new hairdresser try called ahead made appointment everyone friendly helpful curly hair hard find someone knows thought would try deva curl cut came amazing walked process made sure knew exactly made made feel great answered questions felt like really got moneys worth energy salon fun welcomingoverall expirence fantastic would reccomend salon anyone thanks guys ill definitely back,2022-01-19 19:38:24
8jyV-pnykWtKLtfqhYdykA,QTVdM8ThpshrX-8GTcdk2w,Y4uWSRQ-GyOaxA2c-qZxWw,5.0,0,0,0,love place great toys maternity things quickly outgrow turn right back around sell money store credit,2022-01-19 19:37:38
TZMTtzsG7hIy_1usL83moQ,5iBVQ3OeK8lV4Z_4PXc1Xw,tsx84z4c0B-y6J5fqfvBqg,4.0,0,0,0,first time trying new spot part disappoint good portion food plenty flavor fish spread appetizer probably least flavorful anything ordered say bad bit bland also ordered two seafood boils one called basics feeling crabby great flavor spice like good little spice would recommend getting least medium mr mrs crab seasoning fried shrimp basket good sized shrimp battered light tasty batter restrooms stocked clean overall appearance restaurant inviting tvs scattered around dining area around well stocked bar hosthostess could little friendlier considering slow time service okay ask refills things tracked restaurant tucked corner small plaza plenty parking food atmosphere take spotlight definitely place visit town,2022-01-19 19:37:15
qqesRnXlrRIezZ7feaRCdA,56F9P5rm2jmRgMONMNytbg,ZxwgFyp3jfefE0pXpeDy8Q,4.0,0,0,0,fiancé working since june 2021 absolutely love going vasa plenty space despite parking lot packed every morning never problem accessing machine bench etc staff always greets us walk fellow members never make feel uncomfortable issue disinfectant wipes often empty various stations especially covid think important equipment wiped cleaned members docking star,2022-01-19 19:36:50
